"iso3c","year","Y","L","pop_tot_wdde","pop_tot_wdde_g","Y_g","K_g","L_g","L_1_g","L_2_g","L_3_g","Y_o_L","log_Y_o_L","L_1_o_L","L_2_o_L","L_3_o_L","Y_o_L_t_L_1_o_L","Y_o_L_t_L_2_o_L","Y_o_L_t_L_3_o_L","log_Y_o_L_t_L_1_o_L","log_Y_o_L_t_L_2_o_L","log_Y_o_L_t_L_3_o_L","PWLF_g","PWLF_o_LF","Y_o_L_t_PWLF_o_LF","log_Y_o_L_t_PWLF_o_LF"
"BEL",2020,517419.75,9529.4,11487.4,NA,NA,NA,NA,NA,NA,NA,45.042372512492,3.82956211407446,0.0864377610342729,0.599974814783722,0.294005918525825,3.89336183165148,27.0242891056018,13.2427241031176,0.329120735113896,2.28446629955104,1.11945801088819,NA,2.14652551381034,96.6846018006135,8.17311839863456
"BGR",2020,149432.421875,5872,6861.7,NA,NA,NA,NA,NA,NA,NA,21.7777550570558,3.12578440430658,0.0427111716621253,0.676634877384196,0.271202316076294,0.93015343465763,14.735588622734,5.90617761041577,0.131588380599404,2.08463697686424,0.835544242841112,NA,2.11834065152407,46.1327038362953,6.52637249329133
"CHN",2020,20257660,1176517.9,1416581,NA,NA,NA,NA,NA,NA,NA,14.3003894588449,2.72787828290089,0.186480120701946,0.651428507802559,0.131507051443926,2.66673835237024,9.31568136617079,1.8806020522325,0.496090598303187,1.73298664206705,0.349846469351971,NA,1.41612816518029,20.2511842857176,3.76730702497316
"CYP",2020,28053.96875,1001.8,1205.3,NA,NA,NA,NA,NA,NA,NA,23.2755071351531,3.18946790521161,0.095827510481134,0.491016170892394,0.392892792972649,2.23043390394759,11.4286503890815,9.14477900618512,0.301607660939418,1.5454250876677,1.23659140985161,NA,2.190230613718,50.978728277224,6.89353536374552
"CZE",2020,401072.21875,8938.1,10590.7,NA,NA,NA,NA,NA,NA,NA,37.870227534535,3.66022859857828,0.00377037625446124,0.779170069701614,0.212024926997908,0.142785006647255,29.5073478276996,8.02943222840394,0.0137021703641472,2.83163279130654,0.770533621872265,NA,2.08829600816268,79.084244988582,7.58921278499892
"DEU",2020,4275312,70769.4,81505.9,NA,NA,NA,NA,NA,NA,NA,52.4540186661334,3.97882182016644,0.0397502310320562,0.627165130692079,0.330915621723513,2.08505936053859,32.8973314720703,17.3578541988003,0.157408408670623,2.48353437534314,1.31040499809275,NA,2.11682624413217,111.03604332267,8.38249846277231
"DNK",2020,311838,4824.4,5774.4,NA,NA,NA,NA,NA,NA,NA,54.0035328345802,4.0073974165256,0.00530635934002156,0.67774230992455,0.314401790896277,0.286562150850936,36.6004790873947,16.9788074379179,0.0211673298985458,2.70354760036231,1.25416429648884,NA,2.070335068724,111.80540786242,8.25866900299885
"ESP",2020,1886595.25,40077.6,46745.5,NA,NA,NA,NA,NA,NA,NA,40.3588634200083,3.72228674964871,0.164598179531709,0.510696748308282,0.311231211449787,6.64299544690224,20.6111403140163,12.5609379549457,0.608652964455008,1.88846007094197,1.15087420783621,NA,1.95473619092789,78.8909309518059,7.2282450554476
"EST",2020,44876.34765625,1089.5,1306.1,NA,NA,NA,NA,NA,NA,NA,34.3590442203889,3.56555420743775,0.0279027076640661,0.530885727397889,0.435979807251033,0.958710366498232,18.2407261836374,14.9798494765349,0.0986881179576263,1.87767129693063,1.54200184308791,NA,2.25016276158665,77.3134418284282,7.9585225460145
"FIN",2020,248551.546875,4613.5,5532.1,NA,NA,NA,NA,NA,NA,NA,44.9289685426872,3.82709604092654,0.0783786712907771,0.548477294895416,0.372168635526173,3.52147285684095,24.6425191287343,16.7211529181303,0.298237331337509,2.08700150225784,1.41613246102462,NA,2.25820472544612,101.458809072516,8.5926558825201
